Age,Gender,Country,work_interfere,tech_company,care_options,mental_health_consequence,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
37,Female,United States,Often,Yes,Not sure,No,No,No,Maybe,Yes,No
44,M,United States,Rarely,No,No,Maybe,No,No,No,Don't know,No
32,Male,Canada,Rarely,Yes,No,No,No,Yes,Yes,No,No
31,Male,United Kingdom,Often,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
31,Male,United States,Never,Yes,No,No,No,Yes,Yes,Don't know,No
33,Male,United States,Sometimes,Yes,Not sure,No,No,No,Maybe,Don't know,No
35,Female,United States,Sometimes,Yes,No,Maybe,Maybe,No,No,Don't know,No
39,M,Canada,Never,Yes,Yes,No,No,No,No,No,No
42,Female,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
23,Male,Canada,Never,Yes,No,No,No,Maybe,Maybe,Yes,No
31,Male,United States,Sometimes,Yes,No,No,No,No,No,Don't know,No
29,male,Bulgaria,Never,Yes,Not sure,No,No,Yes,Yes,Don't know,No
42,female,United States,Sometimes,No,Yes,Yes,Yes,Maybe,Maybe,No,Yes
36,Male,United States,Never,Yes,Not sure,No,No,No,No,Don't know,No
27,Male,Canada,Never,Yes,Not sure,No,No,Maybe,Yes,Yes,No
29,female,United States,Rarely,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
23,Male,United Kingdom,Sometimes,Yes,No,Maybe,No,Maybe,Maybe,No,No
32,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,No,No
46,male,United States,Sometimes,Yes,Not sure,No,No,No,Yes,Yes,Yes
36,Male,France,NA,Yes,No,No,No,Maybe,Maybe,Don't know,No
29,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,No,No
31,male,United States,Never,Yes,No,No,No,No,Maybe,Yes,No
46,Male,United States,Often,Yes,Yes,Maybe,No,No,Maybe,No,No
41,Male,United States,Never,No,No,Maybe,No,No,Yes,Don't know,No
33,male,United States,Rarely,Yes,Not sure,No,No,No,Yes,Don't know,No
35,male,United States,Sometimes,No,Yes,Yes,No,No,Yes,No,No
33,male,United States,NA,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
35,Female,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
34,male,United States,Sometimes,Yes,Not sure,No,No,No,No,No,No
37,Male,United Kingdom,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,No
32,Male,United Kingdom,Never,Yes,No,Yes,Yes,No,Maybe,No,No
31,Male,United States,Rarely,Yes,Yes,Yes,No,No,No,No,Yes
30,male,United Kingdom,Sometimes,Yes,No,Maybe,No,No,Yes,Don't know,No
42,Male,United States,Sometimes,Yes,Yes,Maybe,No,Maybe,Yes,Don't know,No
40,female,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Yes,No
27,Male,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
29,Male,Canada,Rarely,Yes,No,Yes,Maybe,No,No,Don't know,No
38,Male,Portugal,NA,Yes,Yes,Maybe,No,No,Maybe,No,No
50,M,United States,NA,Yes,Yes,No,No,No,Maybe,Don't know,No
35,M,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
24,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Yes,No,Yes
35,Male,United States,NA,Yes,Not sure,Yes,Yes,No,Maybe,Don't know,No
